Title,Artist,Year,Additional information
"""Sleigh Ride""",TLC,1992,"Peaked at No. 42 on the Billboard R&B Radio Monitor chart and at No. 43 on the Billboard Hot 100 Airplay chart on the week ending January 9, 1993.[83][499] From the 1992 film Home Alone 2: Lost in New York and later included on the 1993 holiday compilation album, A LaFace Family Christmas."
"""Sleigh Ride""",Lorrie Morgan,1993,"Peaked at No. 42 on the Billboard Hot Country Singles & Tracks chart on the week ending January 8, 2000.[87]"
"""Sleigh Ride""",Garth Brooks,1999,"Peaked at No. 54 on the Billboard Hot Country Singles & Tracks chart on the week ending January 8, 2000.[72][500]"
"""Slipping Into Christmas""",Leon Russell,1972,"B-side is ""Christmas In Chicago"".[128]"
"""Snoopy's Christmas""",The Royal Guardsmen,1967,"The third in a series of ""Snoopy vs. The Red Baron"" songs by the group. Reached No. 10 in Cashbox's pop chart, No. 1 in the Billboard Christmas chart. Re-charted in 1968 and 1969.[128]"
"""Snow""",Claudine Longet,1967,"The B-side of Longet's single ""I Don't Intend to Spend Christmas Without You"". Charted for two weeks on the Billboard Christmas chart.[34]"
"""Snowbound for Christmas""",The DeCastro Sisters,1955,"Arranged by Skip Martin.[113] Also recorded by Jackie Gleason in 1967. B-side is ""Christmas Is A-Comin'""."
"""Snowfall""",Claude Thornhill and His Orchestra,1941,"Written by Claude Thornhill.[12] Later recorded by Billy May, Tony Bennett, Henry Mancini, Doris Day and many others."
"""Snow Flake""",Jim Reeves,1966,Charted on both the Hot Country Singles and Hot 100 charts.[353]
"""Snowflakes of Love""",Toni Braxton,2001,"The lead single from Toni Braxton's Christmas album Snowflakes. Includes elements of Isaac Hayes' composition ""Now We're One"".[72][501]"
"""SnowTime""",James Taylor,2015,Peaked at No. 19 on the Billboard Adult Contemporary chart.
"""Someday at Christmas""",Stevie Wonder,1966,Peaked at No. 24 on Billboard's Christmas Singles chart.[85][502] A version by Mary J. Blige peaked at No. 87 on Billboard's Hot R&B/Hip-Hop Singles & Tracks chart in 2000.[147][503] A version by Jordan Hill peaked at No. 11 on Billboard's Hot Adult Contemporary Tracks in 2012.
"""Someday at Christmas""",Stevie Wonder and Andra Day,2015,Peaked at No. 2 on the Billboard Holiday Digital Sales chart and at No. 24 on the Billboard Hot R&B Songs chart.
"""Someone Is Missing At Christmas""",Anne Cochran,2005,Peaked at No. 11 on the Hot Adult Contemporary Tracks.[504] From the album This is the Season.
"""Song for a Winter's Night""",Sarah McLachlan,1994,Written and originally recorded in 1966 by Canadian singer/songwriter Gordon Lightfoot for his 1967 album The Way I Feel. McLachlan's version of the song was recorded in 1994 and first appeared on the soundtrack to that year's remake of Miracle on 34th Street. McLachlan also included her version on her 2006 holiday album Wintersong.
"""The Sound of Christmas""",Ramsey Lewis Trio,1961,
"""The Star""",Mariah Carey,2017,"Peaked at No. 6 on the Billboard Holiday Digital Song Sales chart in November 2017, and at No. 23 on the Billboard Adult Contemporary chart in early 2018."
"""Step Into Christmas""",Elton John,1973,"The B-side is another holiday tune by Elton titled ""Ho Ho Ho (Who'd Be a Turkey at Christmas)"".[76][505] The British indie-rock band The Wedding Present recorded a cover of ""Step Into Christmas"" that appeared on the 1991 various artists holiday compilation A Lump of Coal."
"""Suzy Snowflake""",Rosemary Clooney,1951,Written by Sid Tepper and Roy Brodsky.[151]
"""Sweet Little Baby Boy""",James Brown,1966,"Released as a two-part single, it reached No. 8 on the Billboard Hot 100 in 1966.[158] Also appeared in the Record World top 100 pop chart."
"""A Swingin' Little Christmas""",Jane Lynch featuring Kate Flannery & Tim Davis with The Tony Guerrero Quintet,2016,Peaked at No. 10 on the Billboard Adult Contemporary chart in early 2018.
"""Take Me Back to Toyland""",Nat King Cole,1955,Peaked at No. 47 on Billboard's Top 100 Popular Records chart in 1956. Featuring the Nelson Riddle Orchestra and Chorus.[96][506]
"""Take Me Home for Christmas""",Dan + Shay,2020,"Peaked at No. 2 on Billboard's Hot Country Songs chart on the week ending January 2, 2021. Also made these other Billboard music charts (with peak positions shown): Country Airplay (No. 37), Country Digital Song Sales (No. 4), Country Streaming Songs (No. 7), Digital Song Sales (No. 15), Holiday 100 (No. 25), Global 200 (No. 82), Holiday Digital Song Sales (No. 3), Holiday Streaming Songs (No. 26), Hot 100 (No. 48), and Streaming Songs (No. 29).[507]"
"""Tennessee Christmas""",Amy Grant,1983,"Covered by Alabama in 1985, Steve Wariner in 1990, among other country and Contemporary Christian artists."
"""Thank God for Kids""",Oak Ridge Boys,1982,Peaked at No. 3 for two weeks on Billboard's Hot Country Singles chart in early 1983.[150][508] A 2003 version by Kenny Chesney peaked at No. 60 on Billboard's Hot Country Singles & Tracks chart in early 2004.[8]
"""Thank God It's Christmas""",Queen,1984,
"""Thanks for Christmas""",XTC,1983,
"""That Holiday Feeling""",Steve and Eydie,1964,"A 1998 cover by Michael Civisca and Mary Stahl was a regional hit in the Buffalo, New York area.[509]"
"""That's Christmas to Me""",Pentatonix,2014,Peaked at No. 3 on Billboard's Adult Contemporary chart.[510]
"""That's What I Want for Christmas""",Nancy Wilson,1963,Peaked at No. 6 on Billboard's Christmas Singles chart. Charted again in 1964. Featuring orchestra by O.B. Masingill.[85][511]
"""The Night was Anything but Silent""",Shiloh,2010,"The late Dan Adkins collaborated in writing the song, “The Night Was Anything But Silent.” It was later recorded by Jonathan White and Shiloh. The latter group also recorded a Latin version. [512]"
"""There Is No Christmas Like a Home Christmas""",Perry Como,1968,Originally recorded by Como in 1950. Re-recorded version peaked at No. 28 on Billboard's Christmas Singles chart in 1968. Featuring orchestration by Nick Perito and the Ray Charles Singers on backing vocals.[96]
"""There Won't Be Any Snow (Christmas in the Jungle)""",Derrik Roberts,1965,"Peaked at No. 8 on Billboard's Christmas Singles chart in 1965, and at No. 105 on Billboard's Bubbling Under Hot 100 Singles chart in 1966.[128] Included on the 1998 Westside Records compilation, Christmas Past."
"""(There's No Place Like) Home for the Holidays""",Perry Como,1954,"Featuring accompaniment by the Mitchell Ayres Orchestra and the Ray Charles Singers. Peaked at No. 8 on the Billboard Most Played by Jockeys chart on the week ending December 29, 1954, and at No. 18 on the Billboard Best Sellers in Stores chart one week earlier.[96][513] A second recording of the song by Como with the same backing accompaniment as the 1954 original was released in 1959. First entered the Billboard Hot 100 chart on the week ending December 29, 2018, peaking at No. 22 on the week ending January 2, 2021, following its second chart re-entry. Also made these other Billboard music charts (with peak positions shown): Global 200 (No. 61), Holiday 100 (No. 13), Holiday Airplay (No. 14), Holiday Digital Song Sales (No. 50), Holiday Streaming Songs (No. 10), Hot 100 Recurrents (No. 8), and Streaming Songs (No. 18).[514]"
"""(There's No Place Like) Home for the Holidays""",Garth Brooks,1999,"Peaked at No. 63 on the Billboard Hot Country Singles & Tracks chart on the week ending January 8, 2000.[72][515]"
"""(There's No Place Like) Home for the Holidays""",Cyndi Lauper & Norah Jones,2011,"Peaked at No. 11 on the Billboard Adult Contemporary chart on the week ending January 7, 2012.[516]"
"""Thirty-Two Feet – Eight Little Tails""",Gene Autry,1951,Peaked at No. 5 on Billboard's Best Selling Children's Records chart. Featuring orchestration by Carl Cotner.[214]
"""This Christmas"" (1)",Donny Hathaway,1970,"Peaked at No. 11 on Billboard's Christmas Singles chart on the week ending December 23, 1972.[186] First entered Billboard's Hot 100 chart at No. 39 on the week ending January 2, 2021. Also made these other Billboard music charts (with peak positions shown): Global 200 (No. 62), Holiday 100 (No. 25), Holiday Digital Song Sales (No. 36), Holiday Streaming Songs (No. 27), Hot 100 Recurrents (No. 10), R&B Digital Song Sales (No. 10), R&B Streaming Songs (No. 6), R&B/Hip-Hop Streaming Songs (No. 6), and Streaming Songs (No. 27).[517]"
"""This Christmas"" (1)","Richard Kincaid featuring Cuba Gooding, Sr.",2012,"Peaked at No. 9 on Billboard's Adult Contemporary chart on the week ending December 15, 2012.[518]"
"""This Christmas"" (1)",Seal,2015,"Peaked at No. 1 on Billboard's Adult Contemporary chart on the week ending January 2, 2016.[519]"
"""This Christmas"" (1)",Train,2016,Spent two nonconsecutive weeks at No. 1 on Billboard's Adult Contemporary chart in December 2016.[520]
"""This Christmas"" (2)",Matthew and Gunnar Nelson featuring Alyssa Bonagura,2015,Peaked at No. 17 on the Billboard Adult Contemporary chart.
"""This Gift""",98°,1999,Peaked at No. 49 on the Billboard Hot 100 singles chart and at No. 6 on Billboard's Adult Contemporary chart in early 2000.[100][521]
"""This Is Your Gift""",John Tesh,2002,Peaked at No. 19 on Billboard's Adult Contemporary chart. From the album Christmas Worship.[12][522]
"""This One's for the Children""",New Kids on the Block,1989,"Peaked at No. 7 on the Billboard Hot 100 singles chart, No. 27 on Billboard's Adult Contemporary chart and No. 55 on Billboard's Hot Black Singles chart in 1990.[100][523] The single also included ""Funky, Funky Xmas,"" from the group's holiday album Merry, Merry Christmas, as a second track."
"""This Time of the Year""",Brook Benton,1959,"Peaked at No. 66 on the Billboard Hot 100 singles chart in 1959, and No. 12 on Billboard's Hot R&B Sides chart in 1960. Featuring orchestration by Belford Hendricks.[135][524] Another version by Brenda Lee charted in 1964, peaking at No. 12 on Billboard's Christmas Singles chart.[173]"
"""'Til Santa's Gone (Milk and Cookies)""",Clint Black,1995,"Peaked at No. 58 on Billboard's Hot Country Singles & Tracks in 1996. Originally released in 1990 as a single, and on the albums Home for the Holidays and A Season of Harmony with the title ""Til' Santa's Gone (I Just Can't Wait)"".[135][525]"
"""Time Passages""",Al Stewart,1978,"The most popular song on the Billboard Adult Contemporary Charts in 1978 and 1979.[526] Though released in December 1978 with a theme of going home for Christmas, the song has largely lost its association with Christmas over the years and is now aired more often in general recurrent rotation (in classic hits formats) than in Christmas rotations."
"""Toyland""",Doris Day,1964,From The Doris Day Christmas Album. Based on the Victor Herbert operetta Babes in Toyland. Also popular as an instrumental by countless artists.
"""Trains and Winter Rains""",Enya,2008,"Peaked at No. 27 on Billboard's Adult Contemporary chart.[527] Included on Enya's 2008 album, And Winter Came...."
"""'Twas the Night After Christmas""",Jeff Foxworthy,1996,Peaked at No. 67 on Billboard's Hot Country Singles & Tracks chart in 1997. Parody of the famous 1823 poem written by Clement Moore.[74][528]
"""'Twas the Night Before Christmas (A Visit from St. Nicholas)""",Fred Waring and His Pennsylvanians,1942,"A recording of Clement Moore's famous 1823 poem set to music by Ken Darby and orchestration by Harry Simeone, it first charted on Billboard's Best Selling Children's Records chart in 1949, peaking at No. 11, and again in 1952, peaking at No. 6. This first recording by Waring was released around Christmastime of 1942 on the 4-record album set, 'Twas The Night Before Christmas.[55] He went on to record it two more times; again for Decca Records in 1955,[529] and a third and final time for Capitol Records in stereo in 1963.[530] This 1963 recording became the most famous of the poem's musical adaptations.[531] The song also charted by Arthur Godfrey with backing orchestration by Archie Bleyer on Billboard's Best Selling Children's Records chart in 1950.[93]"
"""The Twelve Days of Christmas""",Mitch Miller and the Gang,1961,"One of the most recorded songs each year. First known recorded version was by Bing Crosby and The Andrews Sisters in 1949. The comedy duo of Bob & Doug McKenzie recorded a parody of this song in 1981. Other popular parodies that still receive airplay on radio stations around the holiday season include ""The Twelve Pains of Christmas"" by the Bob Rivers Comedy Corp (1987), and ""Redneck 12 Days of Christmas"" by Jeff Foxworthy (1995).[74] During the Christmas season of 2008, a comical a cappella version by Straight No Chaser reached No. 5 on Billboard's Adult Contemporary chart."
"""The Twelve Gifts of Christmas""",Allan Sherman,1963,"Peaked at No. 5 on Billboard's Christmas Singles chart. Comical parody version of the traditional English carol, ""The Twelve Days of Christmas"".[53]"
"""25th of Last December""",Roberta Flack,1977,"Peaked at No. 28 on Billboard's Easy Listening chart and No. 52 on Billboard's Hot Soul Singles chart in 1978.[57][532] Written by Gene McDaniels. Originally recorded for the 1977 album Blue Lights in the Basement. Flack re-recorded the song for her 1997 holiday album, The Christmas Album."
"""2000 Miles""",The Pretenders,1983,"Originally released as the B-side of the band's 1983 single ""Middle of the Road"", and then included on the band's 1984 album Learning to Crawl. Also covered by Holly Cole in 1989, and recorded by Coldplay in 2003 as a download single for charity."
"""Twinkle Twinkle Little Me""",The Supremes,1965,Peaked at No. 5 on Billboard's Christmas Singles chart. Charted again in 1966 and 1967.[115]
"""Twistin' Bells""",Santo & Johnny,1960,"Peaked at No. 49 on the Billboard Hot 100 singles chart. ""Twist-rock"" version of ""Jingle Bells"".[103][533]"
"""Underneath the Tree""",Kelly Clarkson,2013,"Written by Clarkson and Greg Kurstin. Spent four weeks at No. 1 on Billboard's Adult Contemporary chart from December 2013 into early January 2014.[534] Also made these other Billboard music charts (with peak positions shown): Digital Song Sales (No. 17), Global 200 (No. 8), Holiday 100 (No. 8), Holiday Airplay (No. 24), Holiday Digital Song Sales (No. 3), Holiday Streaming Songs (No. 10), Hot 100 (No. 12), Hot 100 Recurrents (No. 3), and Streaming Songs (No. 11).[535]"
"""Up on the House Top""",Kimberley Locke,2005,"Spent four weeks at No. 1 on Billboard's Adult Contemporary chart in December 2005 and early 2006.[536] First released by Gene Autry and the Cass County Boys in 1953, and re-recorded by Autry for his 1957 holiday album, Rudolph, the Red-Nosed Reindeer & other Christmas Favorites."
"""Warm & Fuzzy""",Billy Gilman,2000,Peaked at No. 50 on Billboard's Hot Country Singles & Tracks chart in 2001.[93][537]
"""We Need a Little Christmas""","Percy Faith, His Orchestra & Chorus",1966,"Peaked at No. 24 on Billboard's Holiday Airplay chart (week ending December 10, 2005) and at No. 73 on Billboard's Holiday 100 chart (week ending December 13, 2014).[538] Originally from the Broadway musical production Mame."
"""We Need a Little Christmas""",Kimberley Locke,2008,"Peaked at No. 19 on Billboard's Adult Contemporary chart on the week ending January 3, 2009.[539][540]"
"""We Need a Little Christmas""",Glee Cast,2010,"Peaked at No. 15 on Billboard's Adult Contemporary chart (week ending December 25, 2010) and at No. 16 on Billboard's Holiday Digital Songs Sales chart (week ending December 4, 2010).[541]"
"""We Three Kings (Star of Wonder)""",BlackHawk,1997,Peaked at No. 75 on Billboard's Hot Country Singles & Tracks chart in 1998. Composed by John Henry Hopkins in 1857.[135][542]
"""We Wish You a Merry Christmas""",Kenny G,2005,"Peaked at No. 15 on Billboard's Adult Contemporary.[543] Recorded by dozens of artists over the years, but Kenny G's 2005 recording was the first version to make any of Billboard's music charts."
"""Welcome Christmas""",The Who Village Choir,1966,Written for the 1966 Dr. Seuss TV classic How the Grinch Stole Christmas!.
"""What Are You Doing New Year's Eve?""",The Orioles,1949,"Peaked at No. 9 on Billboard's Best-Selling Retail Rhythm & Blues chart.[150][544] Written by Frank Loesser. First recorded by Margaret Whiting in 1947. Other charted versions include Danté & The Evergreens (1960),[113] and Nancy Wilson (1965).[85][545] Recorded by many other artists, including Dick Haymes & the Les Paul Trio (1947), Ella Fitzgerald (1960), Ramsey Lewis Trio (1960), King Curtis (1968), Johnny Mathis (1969), Patti LaBelle (1990), The Stylistics (1992), Harry Connick, Jr. (1993), Barbra Streisand (2001) and Diana Krall (2005)."
"""What Can You Get a Wookiee for Christmas (When He Already Owns a Comb?)""",The Star Wars Intergalactic Droid Choir & Chorale,1980,"Peaked at No. 69 on the Billboard Hot 100 singles chart. A novelty record featuring Star Wars' Chewbacca and included on the 1980 holiday album, Christmas in the Stars. The artist is actually disco producer Meco Monardo.[278]"
"""What Child Is This?""",Mark Chesnutt,1996,"Peaked at No. 75 on Billboard's Hot Country Singles & Tracks chart in 1997. Included on the 1996 various artists album A Country Christmas.[8][546] Traditional 16th century English melody, known as ""Greensleeves"". Lyrics written in the 19th century by William Chatterton Dix. Also charted by Carrie Underwood (2009).[547]"
"""What Christmas Means to Me""",Stevie Wonder,1967,"From the album Someday at Christmas. Later versions were recorded by Paul Young (1992), Hanson (1997), Al Green (2004), and Jessica Simpson (2004)."
"""What Does Christmas Mean?""",Louis York featuring The Shindellas,2017,Peaked at No. 30 on the Billboard Adult Contemporary chart in 2018.
"""What Will Santa Claus Say (When He Finds Everybody Swingin'?)""",Louis Prima and his New Orleans Gang,1936,
"""What Will the New Year Bring?""",Donna Fargo,1975,Peaked at No. 58 on Billboard's Hot Country Singles chart in 1976.[57][548]
"""Whatever Happened to Christmas?""",Frank Sinatra,1968,"Peaked at No. 7 on Billboard's Christmas Singles chart. Written by Jimmy Webb, and featuring the Don Costa Orchestra.[53] Covered by Aimee Mann in 2006."
"""When a Child Is Born""",Michael Holm,1974,"Peaked at No. 7 on Billboard's Easy Listening chart and No. 53 on the Billboard Hot 100 singles chart in 1975.[264][549] Covered in 1976 by Johnny Mathis, whose version spent three weeks at No. 1 on the Official UK Singles Chart in late December 1976 and early 1977. The melody was originally written as ""Soleado"" in 1972."
"""When Winter Comes""",Artie Shaw & his Orchestra,1939,Peaked at No. 6 on the pop singles chart in mid-1939. Featuring vocals by Tony Pastor. From the 1939 film Second Fiddle.[103][550]
"""Where Are You Christmas?""",Faith Hill,2000,"Peaked at No. 10 Billboard's Adult Contemporary chart, No. 26 on Billboard's Hot Country Singles & Tracks chart and No. 65 on the Billboard Hot 100 singles chart in 2001. From the 2000 live action film, How the Grinch Stole Christmas.[264][551] Originally written for and intended to be sung by Mariah Carey, but she was not able due to record label disputes."
"""White Christmas""",Bing Crosby,1942,"Spent eleven weeks at No. 1 on Billboard's National Best Selling Retail Records chart and three weeks at No. 1 on Billboard's Harlem Hit Parade chart in late 1942. Written by Irving Berlin. Bing Crosby's original 1942 version featured the Ken Darby Singers and John Scott Trotter's Orchestra. The song debuted in the 1942 film Holiday Inn (sung by Crosby), then appeared in the 1954 color film titled after the song.[3][552] The familiar 1947 re-recording of the song by Crosby is still the best-selling Christmas single of all time in the U.S. (estimated at more than 50 million sold through the years), and appears on numerous holiday albums as well. Other charting recordings by Gordon Jenkins (1942), Charlie Spivak (1942),[145] Frank Sinatra (1944),[53] Freddy Martin (1945),[5] Jo Stafford (1946),[145] Ernest Tubb (1949),[83] and The Drifters (1954).[51] Elvis Presley's 1957 cover of the song garnered controversy when Irving Berlin called for his version to be banned from radio airplay."
"""White Is in the Winter Night""",Enya,2008,"Peaked at No. 8 on Billboard's Adult Contemporary chart.[527] Included on Enya's 2008 album, And Winter Came...."
"""The White World of Winter""",Bing Crosby,1965,"Peaked at No. 20 on the Billboard Christmas Singles chart. Written by Hoagy Carmichael and Mitchell Parish, and recorded with the Sonny Burke Orchestra.[189]"
"""Who Took the Merry Out of Christmas""",The Staple Singers,1970,Peaked at No. 2 on Billboard's Christmas Singles chart in 1973.
"""Why Couldn't It Be Christmas Every Day?""",Bianca Ryan,2006,"Though not officially released as a single by Columbia Records, radio stations in several countries played the song in 2006 as part of their Christmas-themed programming."
"""Will Santy Come to Shanty Town""","Eddy Arnold, the Tennessee Plowboy and his Guitar",1949,"Peaked at No. 5 on Billboard's Country & Western Records Most Played By Folk Disk Jockeys chart.[2][553] Written by Eddy Arnold, Steve Nelson and his younger brother Ed Nelson, Jr."
"""Winter""",Spike Jones and his City Slickers,1952,"Peaked at No. 23 on the pop singles chart in early 1953. Featuring the Mello Men on vocals. B-side to Jones's hit recording of ""I Saw Mommy Kissing Santa Claus"".[10]"
"""Winter Weather""",Benny Goodman,1941,Peaked at No. 24 on the pop singles chart in 1942. Featuring Peggy Lee and Art Lund on vocals.[93] Also recorded in 1941 by Fats Waller. Later recordings include Jo Stafford (1955) and Tony Bennett (1968).
"""Winter Wonderland""",Guy Lombardo and His Royal Canadians,1934,"Lombardo's version peaked at No. 2 on the pop singles chart in early 1935,[34][554] while a version by Ted Weems and his Orchestra peaked at No. 13 on the pop singles chart.[55][555] Written in 1934 by Felix Bernard (composer) and Richard B. Smith (lyricist). Covered by hundreds of artists. Other charted hit versions in Billboard include Perry Como and the Satisfiers (1946),[96][556] The Andrews Sisters with Guy Lombardo (1946),[2] Johnny Mercer and the Pied Pipers (1946),[278][557] Ramsey Lewis Trio (1966),[34][558] Dolly Parton (1984),[1] Lonestar (2000),[34] Pat Green (2003),[186] and Newsboys (2010)."
"""Winter World of Love""",Engelbert Humperdinck,1969,Charted on both the Adult Contemporary and Billboard Hot 100 charts in 1969.[36]
"""Wistful Willie""",Jimmie Rodgers,1959,"Peaked at No. 112 on Billboard's Bubbling Under Hot 100 Singles chart. Featuring the Joe Reisman Orchestra.[128] The flipside, ""It's Christmas Once Again"" reached the ""Beat Of The Week – Singles Coming Up"" survey in Music Vendor."
"""Wizards in Winter""",Trans-Siberian Orchestra,2004,"Peaked at No. 18 on Billboard's Hot Adult Contemporary Tracks chart in 2005.[559] Taken from the group's third holiday album, The Lost Christmas Eve."
"""Wonderful Christmastime""",Paul McCartney,1979,"Written and produced by McCartney. The single's B-side, ""Rudolph the Red-Nosed Reggae,"" is an instrumental cover of ""Rudolph the Red-Nosed Reindeer."" Debuted on Cash Box's Top 100 Singles chart on the week ending December 29, 1979, peaking at No. 83 two weeks later.[560] Also made these Billboard music charts (with peak positions shown): Adult Contemporary (No. 29), Adult Top 40 Airplay (No. 32), Christmas Singles (No. 10), Global 200 (No. 18), Holiday 100 (No. 15), Holiday Airplay (No. 8), Holiday Digital Song Sales (No. 17), Holiday Streaming Songs (No. 13), Hot 100 (No. 28), Hot 100 Recurrents (No. 1), Radio Songs (No. 48), Rock Digital Song Sales (No. 7), Rock Streaming Songs (No. 2), and Streaming Songs (No. 23).[47][561]"
"""The Working Elf Blues""",Daron Norwood,1994,"Peaked at No. 75 on Billboard's Hot Country Singles & Tracks chart in early 1995. Parody of Merle Haggard's ""Workin' Man Blues"".[100][562]"
"""Wrapped in Red""",Kelly Clarkson,2013,Peaked at No. 2 on Billboard's Adult Contemporary chart in 2014. First released on Clarkson's 2013 holiday album of the same name.[563]
"""Yes, Patricia, There Is a Santa Claus""",Jimmy Dean,1964,"Peaked at No. 14 on Billboard's Christmas Singles chart in 1965. Inspired by the famous 1897 newspaper editorial, ""Yes, Virginia, there is a Santa Claus"".[113] A version by José Ferrer had previously reached the Australian pop chart in 1961."
"""Yingle Bells""",Yogi Yorgesson,1949,"Peaked at No. 7 on Billboard's Best-Selling Pop Singles chart. Instrumental backing by the Johnny Duffy Trio. Parody of ""Jingle Bells"".[272][564]"
"""You Make It Feel Like Christmas"" (1)",Neil Diamond,1984,"Peaked at No. 28 on Billboard's Adult Contemporary chart in 1985.[51][565] Originally appeared on Diamond's 1984 album Primitive, but later re-recorded and included on his 1992 holiday release, The Christmas Album."
"""You Make It Feel Like Christmas"" (2)",Gwen Stefani featuring Blake Shelton,2017,"Peaked at No. 9 on the Billboard Adult Contemporary chart in early 2018, at No. 37 on the Billboard Holiday 100 chart, and at No. 3 on the Billboard Holiday Digital Song Sales chart."
"""You're a Mean One, Mr. Grinch""",Thurl Ravenscroft,1966,"From the 1966 Dr. Seuss holiday TV special How the Grinch Stole Christmas! Peaked at No. 32 on Billboard's Hot 100 chart on the week ending January 2, 2021. Also made these other Billboard music charts (with peak positions shown): Country Digital Song Sales (No. 23), Digital Song Sales (No. 33), Global 200 (No. 90), Holiday 100 (No. 14), Holiday Airplay (No. 23), Holiday Digital Song Sales (No. 2), Holiday Streaming Songs (No. 8), Hot 100 Recurrents (No. 3), and Streaming Songs (No. 25).[566]"
"""You're a Mean One, Mr. Grinch""",Whirling Dervishes,1992,"Peaked at No. 120 on the Billboard Bubbling Under Hot 100 chart on the week ending January 7, 1995.[55]"
"""You're All I Want for Christmas"" (1)",Frankie Laine,1948,"Peaked at No. 11 on Billboard's Best-Selling Pop Singles chart in 1948 and No. 15 on Billboard's Race Records chart in 1949.[45][567] Written by Seger Ellis and Glen Moore. Also charted by Frank Gallagher in 1948.[131] Other versions recorded by Bing Crosby (1949), Eddie Fisher (1952),[57] Al Martino (1964),[47] Jackie Gleason (1967), and the Salsoul Orchestra (1981)."
"""You're All I Want for Christmas"" (2)",Brook Benton,1963,"Peaked at No. 3 on Billboard's Christmas Singles chart. Charted again in 1964. Featuring orchestration by Luchi DeJesus.[135] Different song than the same-titled hit by Frankie Laine from 1948. It was recorded in 1964 by Don Patterson for his album Holiday Soul. In 2011 Dutch singer Caro Emerald recorded a version, sampling Benton's original recording to produce a duet."
"""'Zat You, Santa Claus?""",Garth Brooks,2002,Peaked at No. 56 on Billboard's Hot Country Singles & Tracks chart in 2003.[72][568] Written by Jack Fox. Originally recorded by Louis Armstrong with the Commanders in 1953. Another popular version was released by Buster Poindexter in 1987.
